2026-05-16 23:05:59 | meta_09.jsonl | SQLite | rows=12013 ins=11980 upd=33 other=0 | 0.7s
2026-05-16 23:06:00 | meta_10.jsonl | SQLite | rows=11995 ins=11992 upd=3 other=0 | 0.7s
2026-05-16 23:06:01 | meta_11.jsonl | SQLite | rows=12022 ins=11979 upd=43 other=0 | 0.8s
2026-05-16 23:06:01 | meta_12.jsonl | SQLite | rows=12023 ins=11995 upd=28 other=0 | 0.8s
2026-05-16 23:06:02 | meta_13.jsonl | SQLite | rows=12019 ins=11959 upd=60 other=0 | 0.9s
2026-05-16 23:06:03 | meta_14.jsonl | SQLite | rows=12016 ins=11975 upd=41 other=0 | 0.8s
2026-05-16 23:06:04 | meta_15.jsonl | SQLite | rows=12018 ins=11976 upd=42 other=0 | 0.8s
2026-05-16 23:06:04 | meta_16.jsonl | SQLite | rows=6016 ins=6004 upd=12 other=0 | 0.4s
2026-05-16 23:06:04 | ALL | Cloud Sync | ins=0 upd=0 | 0.0s
2026-05-16 23:06:04 | TOTAL | files=15 ins=163297 upd=386 other=0 | 12.3s
